fish,metric,y,baseline,recovery,drug,dose
40,max_distance_dark_epoch_all,0.00055741,0,0,1,0.05
21,mean_distance_dark_epoch_1,5.083e-05,0,0,1,0.05
21,mean_distance_dark_epoch_2,5.15e-05,0,0,1,0.05
21,mean_distance_dark_epoch_3,4.456e-05,0,0,1,0.05
22,mean_distance_dark_epoch_1,0.00010039,0,0,1,0.05
22,mean_distance_dark_epoch_2,7.972e-05,0,0,1,0.05
22,mean_distance_dark_epoch_3,7.097e-05,0,0,1,0.05
23,mean_distance_dark_epoch_1,2.948e-05,0,0,1,0.05
23,mean_distance_dark_epoch_2,3.198e-05,0,0,1,0.05
23,mean_distance_dark_epoch_3,2.606e-05,0,0,1,0.05
24,mean_distance_dark_epoch_1,3.317e-05,0,0,1,0.05
24,mean_distance_dark_epoch_2,2.795e-05,0,0,1,0.05
24,mean_distance_dark_epoch_3,3.268e-05,0,0,1,0.05
25,mean_distance_dark_epoch_1,2.284e-05,0,0,1,0.05
25,mean_distance_dark_epoch_2,2.488e-05,0,0,1,0.05
25,mean_distance_dark_epoch_3,2.949e-05,0,0,1,0.05
26,mean_distance_dark_epoch_1,2.804e-05,0,0,1,0.05
26,mean_distance_dark_epoch_2,2.763e-05,0,0,1,0.05
26,mean_distance_dark_epoch_3,2.33e-05,0,0,1,0.05
27,mean_distance_dark_epoch_1,4.173e-05,0,0,1,0.05
27,mean_distance_dark_epoch_2,3.929e-05,0,0,1,0.05
27,mean_distance_dark_epoch_3,4.782e-05,0,0,1,0.05
28,mean_distance_dark_epoch_1,6.166e-05,0,0,1,0.05
28,mean_distance_dark_epoch_2,5.371e-05,0,0,1,0.05
28,mean_distance_dark_epoch_3,3.302e-05,0,0,1,0.05
29,mean_distance_dark_epoch_1,4.334e-05,0,0,1,0.05
29,mean_distance_dark_epoch_2,4.797e-05,0,0,1,0.05
29,mean_distance_dark_epoch_3,4.449e-05,0,0,1,0.05
30,mean_distance_dark_epoch_1,2.942e-05,0,0,1,0.05
30,mean_distance_dark_epoch_2,2.615e-05,0,0,1,0.05
30,mean_distance_dark_epoch_3,2.436e-05,0,0,1,0.05
31,mean_distance_dark_epoch_1,2.234e-05,0,0,1,0.05
31,mean_distance_dark_epoch_2,3.391e-05,0,0,1,0.05
31,mean_distance_dark_epoch_3,3.449e-05,0,0,1,0.05
32,mean_distance_dark_epoch_1,3.012e-05,0,0,1,0.05
32,mean_distance_dark_epoch_2,3.881e-05,0,0,1,0.05
32,mean_distance_dark_epoch_3,2.531e-05,0,0,1,0.05
33,mean_distance_dark_epoch_1,2.692e-05,0,0,1,0.05
33,mean_distance_dark_epoch_2,2.605e-05,0,0,1,0.05
33,mean_distance_dark_epoch_3,2.539e-05,0,0,1,0.05
34,mean_distance_dark_epoch_1,2.885e-05,0,0,1,0.05
34,mean_distance_dark_epoch_2,3.962e-05,0,0,1,0.05
34,mean_distance_dark_epoch_3,3.455e-05,0,0,1,0.05
35,mean_distance_dark_epoch_1,5.253e-05,0,0,1,0.05
35,mean_distance_dark_epoch_2,4.33e-05,0,0,1,0.05
35,mean_distance_dark_epoch_3,4.834e-05,0,0,1,0.05
