fish,metric,y,dose,condition
102,avg_latency_max_speed_light_startle_rep_1,0.33328974,50.0,baseline
102,avg_latency_max_speed_light_startle_rep_2,0.20663964,50.0,baseline
103,avg_latency_max_speed_light_startle_rep_1,0.24663441,50.0,baseline
103,avg_latency_max_speed_light_startle_rep_2,0.34662133,50.0,baseline
104,avg_latency_max_speed_light_startle_rep_1,0.56659256,50.0,baseline
104,avg_latency_max_speed_light_startle_rep_2,0.45327405,50.0,baseline
105,avg_latency_max_speed_light_startle_rep_1,0.11331851,50.0,baseline
105,avg_latency_max_speed_light_startle_rep_2,0.65991368,50.0,baseline
106,avg_latency_max_speed_light_startle_rep_1,0.59992153,50.0,baseline
106,avg_latency_max_speed_light_startle_rep_2,0.39328189,50.0,baseline
107,avg_latency_max_speed_light_startle_rep_1,0.3799503,50.0,baseline
107,avg_latency_max_speed_light_startle_rep_2,0.39328189,50.0,baseline
108,avg_latency_max_speed_light_startle_rep_1,0.44660825,50.0,baseline
108,avg_latency_max_speed_light_startle_rep_2,0.43994246,50.0,baseline
109,avg_latency_max_speed_light_startle_rep_1,0.3799503,50.0,baseline
109,avg_latency_max_speed_light_startle_rep_2,0.53326358,50.0,baseline
110,avg_latency_max_speed_light_startle_rep_1,0.55992676,50.0,baseline
110,avg_latency_max_speed_light_startle_rep_2,0.55992676,50.0,baseline
111,avg_latency_max_speed_light_startle_rep_1,0.73323743,50.0,baseline
111,avg_latency_max_speed_light_startle_rep_2,0.69324266,50.0,baseline
112,avg_latency_max_speed_light_startle_rep_1,0.45327405,50.0,baseline
112,avg_latency_max_speed_light_startle_rep_2,0.39328189,50.0,baseline
113,avg_latency_max_speed_light_startle_rep_1,0.33995553,50.0,baseline
113,avg_latency_max_speed_light_startle_rep_2,0.73990322,50.0,baseline
114,avg_latency_max_speed_light_startle_rep_1,0.26663179,50.0,baseline
114,avg_latency_max_speed_light_startle_rep_2,0.28662918,50.0,baseline
115,avg_latency_max_speed_light_startle_rep_1,0.69324266,50.0,baseline
115,avg_latency_max_speed_light_startle_rep_2,0.36661871,50.0,baseline
116,avg_latency_max_speed_light_startle_rep_1,0.48660302,50.0,baseline
116,avg_latency_max_speed_light_startle_rep_2,0.65991368,50.0,baseline
117,avg_latency_max_speed_light_startle_rep_1,0.17997646,50.0,baseline
117,avg_latency_max_speed_light_startle_rep_2,0.80656117,50.0,baseline
118,avg_latency_max_speed_light_startle_rep_1,0.73990322,50.0,baseline
118,avg_latency_max_speed_light_startle_rep_2,0.51993199,50.0,baseline
119,avg_latency_max_speed_light_startle_rep_1,0.33995553,50.0,baseline
119,avg_latency_max_speed_light_startle_rep_2,0.36661871,50.0,baseline
120,avg_latency_max_speed_light_startle_rep_1,0.35328712,50.0,baseline
120,avg_latency_max_speed_light_startle_rep_2,0.59992153,50.0,baseline
101,max_speed_light_startle_all,0.03132762,50.0,baseline
102,max_speed_light_startle_all,0.01568856,50.0,baseline
103,max_speed_light_startle_all,0.00202327,50.0,baseline
104,max_speed_light_startle_all,0.02332816,50.0,baseline
105,max_speed_light_startle_all,0.00204513,50.0,baseline
106,max_speed_light_startle_all,0.00223239,50.0,baseline
107,max_speed_light_startle_all,0.02612655,50.0,baseline
108,max_speed_light_startle_all,0.01690682,50.0,baseline
