fish,metric,y,dose,condition
80,max_speed_light_startle_rep_1,0.01928508,2.5,recovery
80,max_speed_light_startle_rep_2,0.02396885,2.5,recovery
61,diff_max_speed_light_startle_rep_1,0.00620441,2.5,recovery
61,diff_max_speed_light_startle_rep_2,-0.00396531,2.5,recovery
62,diff_max_speed_light_startle_rep_1,9.319e-05,2.5,recovery
62,diff_max_speed_light_startle_rep_2,4.1e-06,2.5,recovery
63,diff_max_speed_light_startle_rep_1,-0.02190323,2.5,recovery
63,diff_max_speed_light_startle_rep_2,0.00026556,2.5,recovery
64,diff_max_speed_light_startle_rep_1,-0.01679691,2.5,recovery
64,diff_max_speed_light_startle_rep_2,-0.00593895,2.5,recovery
65,diff_max_speed_light_startle_rep_1,-0.00057228,2.5,recovery
65,diff_max_speed_light_startle_rep_2,-0.00068725,2.5,recovery
66,diff_max_speed_light_startle_rep_1,-0.00028959,2.5,recovery
66,diff_max_speed_light_startle_rep_2,-8.922e-05,2.5,recovery
67,diff_max_speed_light_startle_rep_1,0.00923065,2.5,recovery
67,diff_max_speed_light_startle_rep_2,-0.00591602,2.5,recovery
69,diff_max_speed_light_startle_rep_1,0.01337724,2.5,recovery
69,diff_max_speed_light_startle_rep_2,0.02274592,2.5,recovery
70,diff_max_speed_light_startle_rep_1,0.00758861,2.5,recovery
70,diff_max_speed_light_startle_rep_2,-0.0001387,2.5,recovery
71,diff_max_speed_light_startle_rep_1,-0.00075081,2.5,recovery
71,diff_max_speed_light_startle_rep_2,-0.00106451,2.5,recovery
72,diff_max_speed_light_startle_rep_1,-0.00223413,2.5,recovery
72,diff_max_speed_light_startle_rep_2,0.01464079,2.5,recovery
73,diff_max_speed_light_startle_rep_1,-0.00032328,2.5,recovery
73,diff_max_speed_light_startle_rep_2,-0.00017509,2.5,recovery
74,diff_max_speed_light_startle_rep_1,0.0005092,2.5,recovery
74,diff_max_speed_light_startle_rep_2,0.00036168,2.5,recovery
75,diff_max_speed_light_startle_rep_1,0.00020825,2.5,recovery
75,diff_max_speed_light_startle_rep_2,-0.00077352,2.5,recovery
76,diff_max_speed_light_startle_rep_1,0.00076269,2.5,recovery
76,diff_max_speed_light_startle_rep_2,0.01389312,2.5,recovery
77,diff_max_speed_light_startle_rep_1,-6.467e-05,2.5,recovery
77,diff_max_speed_light_startle_rep_2,0.00063942,2.5,recovery
78,diff_max_speed_light_startle_rep_1,0.01634368,2.5,recovery
78,diff_max_speed_light_startle_rep_2,-0.01203986,2.5,recovery
79,diff_max_speed_light_startle_rep_1,0.02363921,2.5,recovery
79,diff_max_speed_light_startle_rep_2,0.00439075,2.5,recovery
80,diff_max_speed_light_startle_rep_1,0.00080056,2.5,recovery
80,diff_max_speed_light_startle_rep_2,-0.01532863,2.5,recovery
61,avg_latency_max_speed_light_startle_rep_1,0.19997384,2.5,recovery
61,avg_latency_max_speed_light_startle_rep_2,0.39328189,2.5,recovery
62,avg_latency_max_speed_light_startle_rep_1,0.53992938,2.5,recovery
62,avg_latency_max_speed_light_startle_rep_2,0.42661087,2.5,recovery
63,avg_latency_max_speed_light_startle_rep_1,0.57325835,2.5,recovery
63,avg_latency_max_speed_light_startle_rep_2,0.71324004,2.5,recovery
64,avg_latency_max_speed_light_startle_rep_1,0.5066004,2.5,recovery
64,avg_latency_max_speed_light_startle_rep_2,0.52659779,2.5,recovery
65,avg_latency_max_speed_light_startle_rep_1,0.24663441,2.5,recovery
65,avg_latency_max_speed_light_startle_rep_2,0.27996338,2.5,recovery
66,avg_latency_max_speed_light_startle_rep_1,0.55326097,2.5,recovery
66,avg_latency_max_speed_light_startle_rep_2,0.31329235,2.5,recovery
67,avg_latency_max_speed_light_startle_rep_1,0.59992153,2.5,recovery
67,avg_latency_max_speed_light_startle_rep_2,0.49993461,2.5,recovery
69,avg_latency_max_speed_light_startle_rep_1,0.33995553,2.5,recovery
69,avg_latency_max_speed_light_startle_rep_2,0.37328451,2.5,recovery
70,avg_latency_max_speed_light_startle_rep_1,0.55326097,2.5,recovery
70,avg_latency_max_speed_light_startle_rep_2,0.45993984,2.5,recovery
71,avg_latency_max_speed_light_startle_rep_1,0.17331066,2.5,recovery
71,avg_latency_max_speed_light_startle_rep_2,0.55326097,2.5,recovery
72,avg_latency_max_speed_light_startle_rep_1,0.55326097,2.5,recovery
72,avg_latency_max_speed_light_startle_rep_2,0.45993984,2.5,recovery
73,avg_latency_max_speed_light_startle_rep_1,0.49993461,2.5,recovery
73,avg_latency_max_speed_light_startle_rep_2,0.37328451,2.5,recovery
74,avg_latency_max_speed_light_startle_rep_1,0.47993722,2.5,recovery
74,avg_latency_max_speed_light_startle_rep_2,0.3799503,2.5,recovery
75,avg_latency_max_speed_light_startle_rep_1,0.70657425,2.5,recovery
75,avg_latency_max_speed_light_startle_rep_2,0.35328712,2.5,recovery
76,avg_latency_max_speed_light_startle_rep_1,0.29329497,2.5,recovery
76,avg_latency_max_speed_light_startle_rep_2,0.59992153,2.5,recovery
77,avg_latency_max_speed_light_startle_rep_1,0.5066004,2.5,recovery
77,avg_latency_max_speed_light_startle_rep_2,0.55992676,2.5,recovery
78,avg_latency_max_speed_light_startle_rep_1,0.33995553,2.5,recovery
78,avg_latency_max_speed_light_startle_rep_2,0.51993199,2.5,recovery
79,avg_latency_max_speed_light_startle_rep_1,0.48660302,2.5,recovery
79,avg_latency_max_speed_light_startle_rep_2,0.49326881,2.5,recovery
80,avg_latency_max_speed_light_startle_rep_1,0.33995553,2.5,recovery
80,avg_latency_max_speed_light_startle_rep_2,0.49326881,2.5,recovery
61,max_speed_light_startle_all,0.02308024,2.5,recovery
62,max_speed_light_startle_all,0.0043799,2.5,recovery
63,max_speed_light_startle_all,0.0236499,2.5,recovery
64,max_speed_light_startle_all,0.01830528,2.5,recovery
65,max_speed_light_startle_all,0.00271051,2.5,recovery
66,max_speed_light_startle_all,0.00353204,2.5,recovery
67,max_speed_light_startle_all,0.02638722,2.5,recovery
69,max_speed_light_startle_all,0.02457099,2.5,recovery
70,max_speed_light_startle_all,0.0186417,2.5,recovery
71,max_speed_light_startle_all,0.06831244,2.5,recovery
72,max_speed_light_startle_all,0.02726772,2.5,recovery
73,max_speed_light_startle_all,0.02082748,2.5,recovery
74,max_speed_light_startle_all,0.00207366,2.5,recovery
75,max_speed_light_startle_all,0.00520381,2.5,recovery
76,max_speed_light_startle_all,0.01597797,2.5,recovery
77,max_speed_light_startle_all,0.00718385,2.5,recovery
78,max_speed_light_startle_all,0.01966154,2.5,recovery
79,max_speed_light_startle_all,0.02520992,2.5,recovery
80,max_speed_light_startle_all,0.02396885,2.5,recovery
61,diff_max_speed_light_startle_all,0.00111955,2.5,recovery
